Date,Month,Time ,Weather,Air Temperature,Creel Start Time,County/State,Time Started,Time Interviewed,Hours Fished,DecimalTime,Total Effort,Num. in Party,Bank/Boat 0=Bank 1=Boat,Spp. Sought,Spp. Caught,# Kept,Weight (kg),# Released,Total Caught,Crappie Caught,Catfish Caught,Bass Caught,Bream Caught,Location,Method,Catch/Release,Smallest fish you would keep,Complete/Incomplete,Creel Type,Notes (50 char. max),,,,,,0.65,,,,,,
3/3/2019,March,7,Rain,44,7,Oktibbeha,7:30,7:50,0:20,0.33,0.33,1,0,Crappie,None,0,,0,0,0,0,0,,,,,,,Roving,,,,,,,,,,,,,
3/3/2019,March,7,Rain,44,7,Choctaw,7:00,7:23,0:23,0.38,0.38,1,1,Crappie,Crappie,1,,0,1,1,0,0,,,,,,,Roving,,,,,,,,,,,,,
3/16/2019,March,11,Cloudy,57,11,Winston,11:35,12:35,1:00,1,3,3,0,Crappie,None,2,1.2,0,2,2,0,0,,3,,,,,Roving,2 White Crappie,,,,,,,,,,,,
3/16/2019,March,11,Cloudy,57,11,Oktibbeha,12:30,13:30,1:00,1,2,2,0,Any,None,0,,0,0,0,0,0,,3,,,,,Roving,2 adults and three small children in group,,,,,,,,,,,,
3/16/2019,March,11,Cloudy,57,11,Winston,13:00,13:37,0:37,0.62,1.24,2,0,Catfish,None,0,,0,0,0,0,0,,,trotline,,,,Roving,,,,,,,,,,,,,
3/16/2019,March,11,Cloudy,57,11,Winston,10:00,14:39,4:39,4.65,9.3,2,1,Crappie,None,1,,0,1,1,0,0,,,,,,,Roving,,,,,,,,,,,,,
3/17/2019,March,7,Sunny,37,7,Oktibbeha,9:00,9:30,0:30,0.5,0.5,1,0,Crappie,None,0,,0,0,0,0,0,,3,,,,,Roving,,,,,,,,,,,,,
3/17/2019,March,7,Sunny,37,7,Oktibbeha,10:30,10:58,0:28,0.47,0.47,1,0,Any,None,0,,0,0,0,0,0,,3,,,,,Roving,,,,,,,,,,,,,
3/22/2019,March,3,Cloudy,67,3,Oktibbeha,15:30,15:34,0:04,0.07,0.07,1,0,Bass,None,0,,0,0,0,0,0,,,1 pole/person,,,,Roving,,,,,,,,,,,,,
3/22/2019,March,3,Cloudy,67,3,Noxubee,10:00,15:42,5:42,5.7,5.7,1,0,Catfish,None,0,,0,0,0,0,0,,,3 pole/person,,,,Roving,,,,,,,,,,,,,
3/25/2019,March,11,Cloudy,70,3,Oktibbeha,14:30,15:26,0:56,0.93,0.93,1,0,Bream,None,0,,0,0,0,0,0,,,,,,,Roving,,,,,,,,,,,,,
3/25/2019,March,11,Cloudy,70,11,Choctaw,11:30,15:14,3:44,3.73,7.46,2,1,Crappie,Crappie/Bream,14,,11,25,17,0,0,7,3,,,,,Roving,Released: 6 BR,,,,,,,,,,,,
3/29/2019,March,3,Sunny,77,3,Oktibbeha,12:30,15:24,2:54,2.9,5.8,2,0,Any,None,0,,0,0,0,0,0,,,2 pole/person,,,,Roving,,,,,,,,,,,,,
3/29/2019,March,3,Sunny,77,3,Oktibbeha,15:00,15:28,0:28,0.47,0.47,1,0,Any,None,0,,0,0,0,0,0,,,1 pole/person,,,,Roving,,,,,,,,,,,,,
4/6/2019,April,3,Cloudy,75,3,Winston,13:00,15:00,2:00,2,2,1,0,Any,Bream,0,,2,2,0,0,0,2,,,No,"5""",,Roving,,,,,,,,,,,,,
4/6/2019,April,3,Cloudy,75,3,Oktibbeha,15:00,15:54,0:54,0.9,0.9,1,0,Any,None,0,,0,0,0,0,0,,1,,Yes,,,Roving,,,,,,,,,,,,,
4/6/2019,April,3,Cloudy,75,3,Noxubee,12:00,15:58,3:58,3.97,3.97,1,0,Any,Bream,3,0.4,0,3,0,0,0,3,,,No,,,Roving,,,,,,,,,,,,,
4/20/2019,April,7,Sunny,47,7,Winston,6:00,7:16,1:16,1.27,1.27,1,0,Crappie/ Bass,None,0,,0,0,0,0,0,,3,,No,6 Crappie/Bream,,Roving,,,,,,,,,,,,,
4/21/2019,April,11,Sunny,71,11,Noxubee,9:00,11:11,2:11,2.18,2.18,1,0,Any,None,0,,0,0,0,0,0,,3,,No,6 Bream,,Roving,,,,,,,,,,,,,
4/21/2019,April,11,Sunny,71,11,Oktibbeha,11:00,11:23,0:23,0.38,0.38,1,0,Bream,None,0,,0,0,0,0,0,,1,,No,Any,,Roving,,,,,,,,,,,,,
4/21/2019,April,11,Sunny,71,11,Oktibbeha,11:00,11:28,0:28,0.47,0.94,2,0,Bream,None,0,,0,0,0,0,0,,1,,Yes,N/A,,Roving,,,,,,,,,,,,,
4/29/2019,April,3,Sunny,83,3,Noxubee,14:30,15:20,0:50,0.83,0.83,1,0,Crappie/ Catfish,Crappie,1,0.68,0,1,1,0,0,,3,,No,13 Crappie,,Roving,White Crappie 381 mm,,,,,,,,,,,,
4/29/2019,April,3,Sunny,83,3,Noxubee,9:00,15:50,6:50,6.83,6.83,1,0,Any,None,0,,0,0,0,0,0,,1,,No,10 Crappie,,Roving,,,,,,,,,,,,,
5/8/2019,May,7,Sunny,59,7,Oktibbeha,6:30,7:25,0:55,0.92,0.92,1,0,Bream,Bream,12,2,4,16,0,0,0,16,1,1 pole/person,No,5,,Roving,11 bluegill (190,,,,,,,,,,,,
5/8/2019,May,7,Sunny,59,7,Oktibbeha,7:15,7:39,0:24,0.4,0.8,2,0,Bream,None,0,,0,0,0,0,0,,1,1 pole/person,No,,,Roving,,,,,,,,,,,,,
5/10/2019,May,7,Rain,61,7,Winston,8:00,9:15,1:15,1.25,1.25,1,0,Crappie,None,0,,0,0,0,0,0,,3,1 pole/person,No,8 inch crappie,,Roving,,,,,,,,,,,,,
5/10/2019,May,7,Rain,61,7,Oktibbeha,9:00,9:48,0:48,0.8,0.8,1,0,Bream,Bream,0,,1,1,0,0,0,1,1,1 pole/person,No,5 inch Bream,,Roving,,,,,,,,,,,,,
5/19/2019,May,11,Cloudy,73,11,Noxubee,10:01,11:03,1:02,1.03,1.03,1,0,Bream,Bream,4,,0,4,0,0,0,4,3,1 pole/person,No,"2""",,Roving,,,,,,,,,,,,,
6/15/2019,June,10,Sunny,75,7,Oktibbeha,7:30,10:24,2:54,2.9,5.8,2,0,Bream,Bream,22,3.1,6,28,0,0,0,28,1,1 pole/person,No,"4""",Incomplete,Bus,,,,,,,,,,,,,
6/15/2019,June,10,Sunny,75,7,Oktibbeha,11:49,12:28,0:39,0.65,1.3,2,0,Any,None,0,,0,0,0,0,0,,3,1 pole/person,Yes,,Complete,Bus,,,,,,,,,,,,,
6/15/2019,June,10,Sunny,75,7,Oktibbeha,12:24,13:15,0:51,0.85,1.7,2,0,Bream,Bream,4,,4,8,0,0,0,8,3,1 pole/person,No,Any,Complete,Bus,,,,,,,,,,,,,
6/15/2019,June,10,Sunny,75,7,Oktibbeha,6:30,8:11,1:41,1.68,1.68,1,0,Bass/ Bream,Bream,0,,1,1,0,0,0,1,2,1 pole/person,Yes,,Complete,Bus,,,,,,,,,,,,,
6/16/2019,June,10,Cloudy,82,7,Oktibbeha,9:15,10:48,1:33,1.55,4.65,3,0,Bream,Bream,7,,2,9,0,0,0,9,3,1 pole/person,No,Any,Incomplete,Bus,,,,,,,,,,,,,
6/16/2019,June,10,Cloudy,82,7,Oktibbeha,6:30,13:09,6:39,6.65,13.3,2,0,Bream,Bream,52,6.8,0,52,0,0,0,52,1,1 pole/person,No,"6""",Complete,Bus,,,,,,,,,,,,,
6/21/2019,June,4,Sunny,92,2,Winston,18:10,18:37,0:27,0.45,0.45,1,0,Bass/ Bream,None,0,,0,0,0,0,0,,3,,Yes,,Complete,Bus,,,,,,,,,,,,,
6/21/2019,June,4,Sunny,92,2,Noxubee,15:15,16:45,1:30,1.5,1.5,1,0,Bream,None,0,,0,0,0,0,0,,2,1 pole/person,No,"6""",Complete,Bus,,,,,,,,,,,,,
6/24/2019,June,4,Sunny,87,2,Noxubee,17:30,17:57,0:27,0.45,0.9,2,0,Bream,None,0,,0,0,0,0,0,,2,1 pole/person,No,"6""",Complete,Bus,,,,,,,,,,,,,
6/29/2019,June,4,Sunny,88,2,Oktibbeha,16:30,17:32,1:02,1.03,1.03,1,0,Bream,None,0,,0,0,0,0,0,,3,1 pole/person,Yes,,Complete,Bus,,,,,,,,,,,,,
6/29/2019,June,4,Sunny,88,2,Oktibbeha,16:30,17:41,1:11,1.18,1.18,1,0,Bream,None,7,,0,7,0,0,0,7,1,1 pole/person,No,"5""",Complete,Bus,,,,,,,,,,,,,
7/6/2019,July,4,Cloudy,87,2,Oktibbeha,16:18,17:00,0:42,0.7,0.7,1,0,Any,Bream,0,,0,0,0,0,0,,3,1 pole/person,Yes,,Complete,Bus,,,,,,,,,,,,,
7/18/2019,July,4,Cloudy,84,3,Oktibbeha,12:00,15:08,3:08,3.13,6.26,2,0,Any,Bream,3,0.4,0,3,0,0,0,3,3,1 pole/person,No,"6""",Incomplete,Bus,,,,,,,,,,,,,
8/28/2019,August,11,Sunny,85,11,Noxubee,9:00,11:39,2:39,2.65,2.65,1,0,Bream,Bream,10,1,0,10,0,0,0,10,2,1 pole/person,No,"6""",Incomplete,Roving,,,,,,,,,,,,,
8/28/2019,August,11,Sunny,85,11,Oktibbeha,6:30,11:47,5:17,5.28,5.28,1,0,Bream,Bream,27,3,0,27,0,0,0,27,1,1 pole/person,No,Any,Incomplete,Roving,,,,,,,,,,,,,
8/28/2019,August,11,Sunny,85,11,Choctaw,11:05,11:05,0:00,0,0,2,1,Crappie,None,0,,0,0,0,0,0,,2,1 pole/person,No,"10""",Incomplete,Roving,,,,,,,,,,,,,
8/28/2019,August,11,Sunny,85,11,Noxubee,9:30,11:26,1:56,1.93,3.86,2,0,Bream,Bream,6,0.6,0,6,0,0,0,6,3,1 pole/person,No,"5""",Incomplete,Roving,,,,,,,,,,,,,
9/8/2019,September,3,Sunny,93,3,Oktibbeha,14:15,15:07,0:52,0.87,1.74,2,0,Any,None,0,,0,0,0,0,0,0,2,1 pole/person,Yes,,Incomplete,Roving,,,,,,,,,,,,,
