"","tempC","DO_dusk","elevation","Vol6.5","Vol6","Vol5.5","Vol5","Vol4.5","Vol4","Vol3.5","Vol3"
"49",27,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"50",28,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"51",29,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"52",30,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"53",5,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"54",6,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"55",7,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"56",8,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"57",9,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"58",10,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"59",11,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"60",12,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"61",13,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"62",14,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"63",15,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"64",16,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"65",17,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"66",18,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"67",19,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"68",20,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"69",21,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"70",22,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"71",23,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"72",24,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"73",25,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"74",26,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"75",27,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"76",28,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"77",29,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"78",30,7,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"79",5,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"80",6,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"81",7,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"82",8,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"83",9,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"84",10,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"85",11,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"86",12,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"87",13,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"88",14,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"89",15,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"90",16,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"91",17,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"92",18,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"93",19,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"94",20,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"95",21,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"96",22,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"97",23,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"98",24,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"99",25,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"100",26,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"101",27,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"102",28,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"103",29,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"104",30,8,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"105",5,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"106",6,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"107",7,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"108",8,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"109",9,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"110",10,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"111",11,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"112",12,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"113",13,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"114",14,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"115",15,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"116",16,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"117",17,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"118",18,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"119",19,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"120",20,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"121",21,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"122",22,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"123",23,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"124",24,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"125",25,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"126",26,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"127",27,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"128",28,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"129",29,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"130",30,9,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"131",5,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"132",6,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"133",7,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"134",8,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"135",9,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"136",10,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"137",11,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"138",12,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"139",13,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"140",14,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"141",15,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"142",16,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"143",17,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"144",18,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"145",19,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"146",20,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"147",21,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"148",22,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"149",23,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"150",24,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"151",25,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"152",26,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"153",27,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"154",28,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"155",29,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"156",30,10,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"157",5,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"158",6,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"159",7,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"160",8,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"161",9,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"162",10,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"163",11,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"164",12,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"165",13,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"166",14,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"167",15,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"168",16,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"169",17,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"170",18,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"171",19,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"172",20,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"173",21,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"174",22,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"175",23,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"176",24,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"177",25,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"178",26,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"179",27,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"180",28,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"181",29,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"182",30,5,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"183",5,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"184",6,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"185",7,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"186",8,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"187",9,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"188",10,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"189",11,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"190",12,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"191",13,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"192",14,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"193",15,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"194",16,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"195",17,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"196",18,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"197",19,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"198",20,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"199",21,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"200",22,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"201",23,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"202",24,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"203",25,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"204",26,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"205",27,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"206",28,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"207",29,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"208",30,6,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"209",5,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"210",6,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"211",7,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"212",8,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"213",9,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"214",10,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"215",11,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"216",12,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"217",13,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"218",14,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"219",15,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"220",16,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"221",17,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"222",18,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"223",19,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"224",20,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"225",21,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"226",22,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"227",23,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"228",24,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"229",25,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"230",26,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"231",27,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"232",28,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"233",29,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"234",30,7,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"235",5,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"236",6,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"237",7,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"238",8,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"239",9,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"240",10,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"241",11,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"242",12,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"243",13,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"244",14,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"245",15,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"246",16,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"247",17,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"248",18,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"249",19,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"250",20,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"251",21,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"252",22,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"253",23,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"254",24,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"255",25,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"256",26,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"257",27,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"258",28,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"259",29,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"260",30,8,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"261",5,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"262",6,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"263",7,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"264",8,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"265",9,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"266",10,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"267",11,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"268",12,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"269",13,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"270",14,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"271",15,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"272",16,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"273",17,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"274",18,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"275",19,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"276",20,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"277",21,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"278",22,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"279",23,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"280",24,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"281",25,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"282",26,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"283",27,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"284",28,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"285",29,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"286",30,9,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"287",5,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"288",6,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"289",7,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"290",8,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"291",9,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"292",10,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"293",11,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"294",12,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"295",13,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"296",14,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"297",15,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"298",16,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"299",17,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"300",18,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"301",19,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"302",20,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"303",21,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"304",22,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"305",23,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"306",24,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"307",25,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"308",26,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"309",27,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"310",28,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"311",29,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"312",30,10,66.87062,NA,NA,NA,NA,NA,NA,NA,NA
"313",5,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"314",6,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"315",7,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"316",8,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"317",9,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"318",10,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"319",11,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"320",12,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"321",13,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"322",14,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"323",15,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"324",16,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"325",17,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"326",18,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"327",19,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"328",20,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"329",21,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"330",22,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"331",23,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"332",24,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"333",25,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"334",26,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"335",27,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"336",28,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"337",29,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"338",30,5,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"339",5,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"340",6,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"341",7,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"342",8,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"343",9,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"344",10,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"345",11,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"346",12,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"347",13,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"348",14,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"349",15,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"350",16,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"351",17,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"352",18,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"353",19,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"354",20,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"355",21,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"356",22,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"357",23,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"358",24,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"359",25,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"360",26,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"361",27,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"362",28,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"363",29,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"364",30,6,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"365",5,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"366",6,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"367",7,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"368",8,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"369",9,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"370",10,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"371",11,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"372",12,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"373",13,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"374",14,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"375",15,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"376",16,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"377",17,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"378",18,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"379",19,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"380",20,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"381",21,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"382",22,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"383",23,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"384",24,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
"385",25,7,67.07892,NA,NA,NA,NA,NA,NA,NA,NA
